index,language,source,question,option_A,option_B,option_C,option_D,option_E,correct_option,question_EN,option_A_EN,option_B_EN,option_C_EN,option_D_EN,option_E_EN,,,,,,,,,,,,,,
41,ZH-CN,national_official_exam_unofficial_source,"患儿，2岁，发热39.4摄氏度，3小时候前突发抽搐一次，后精神良好。拟诊断
为____。",病毒性脑炎,热性惊厥,化脓性脑炎,低钙性惊厥,中毒性脑病,2,"Child, 2 years old, fever of 39.4°C, had a seizure 3 hours ago, now mentally well. Tentative diagnosis:",Viral encephalitis,Febrile seizure,Suppurative encephalitis,Hypocalcemic seizure,Toxic encephalopathy,,,,,,,,,,,,,,
42,ZH-CN,national_official_exam_unofficial_source,"患儿，7岁，2周前患“咽峡炎”，1天前发现颜面部水肿，查体：血压：140/92mmHg，
尿蛋白（++），尿红细胞（++），肾活检电镜下检查显示有驼峰样沉积物，最可能的
诊断是____。",毛细血管内增生性肾小球肾炎,毛细血管外增生性肾小球肾炎,系膜增生性肾炎,膜性肾病,膜增生性肾病,1,"Child, 7 years old, had “pharyngitis” 2 weeks ago, noticed facial edema 1 day ago. BP: 140/92 mmHg, urine protein (++), urine RBC (++). Electron microscopy of kidney biopsy shows hump-like deposits. Most likely diagnosis:",Capillary endocapillary proliferative glomerulonephritis,Extracapillary proliferative glomerulonephritis,Mesangial proliferative glomerulonephritis,Membranous nephropathy,Membranoproliferative glomerulonephritis,,,,,,,,,,,,,,
43,ZH-CN,national_official_exam_unofficial_source,"患儿，8岁，意识障碍，于8月10日入院，完善脑脊液检查，白细胞19x10 /l，
NO.9x10 /l，患儿的诊断____。
⁹","流行性脑脊髓膜炎
⁹",流行性乙脑,脑形疟疾,流行性出血热,钩端螺旋体病,1,"Child, 8 years old, unconscious, admitted Aug 10. CSF exam: WBC 19×10⁶/L, NO. 9×10⁶/L. Diagnosis:
",Epidemic cerebrospinal meningitis,Japanese encephalitis,Cerebral malaria,Epidemic hemorrhagic fever,Leptospirosis,,,,,,,,,,,,,,
44,ZH-CN,national_official_exam_unofficial_source,"患儿，母乳喂养，未添加辅食，面色发黄，MCV增高，MCH正常，MCHC正常，可
能的原因是____。",维生素B 缺乏,"维生素A缺乏
₁₂",缺铁性贫血,维生素C缺乏,维生素E缺乏,1,"Breastfed infant, no complementary foods, pale, elevated MCV, normal MCH, normal MCHC. Possible cause:
",Vitamin B₁₂ deficiency,Vitamin A deficiency,Iron deficiency anemia,Vitamin C deficiency,Vitamin E deficiency,,,,,,,,,,,,,,
45,ZH-CN,national_official_exam_unofficial_source,患儿1岁，活动时喜下蹲及被大人抱，体检发现口唇发绀。下列哪项不正确____。,右心房扩大,右心室扩大,左心室扩大,房间隔缺损,支气管动脉和肺血管侧支循环建立,3,"Child, 1 year old, prefers squatting or being held during activity. Exam: cyanotic lips. Which is NOT correct?",Right atrial enlargement,Right ventricular enlargement,Left ventricular enlargement,Atrial septal defect,Established bronchial-pulmonary collateral circulation,,,,,,,,,,,,,,
46,ZH-CN,national_official_exam_unofficial_source,"患者，男，41岁。3天前发现甲状腺结节。感到无力、怕热、活动后多汗和心慌，
体重下降2.5kg。查体：甲状腺左叶可触及一直径2.5cm大小的圆形、较硬、随吞咽
活动的结节。明确诊断最有价值的检查是____。",碘131功能试验,放射性核素扫描,甲状腺穿刺活检,MRI,B超,3,"Male, 41 years old, thyroid nodule for 3 days, with weakness, heat intolerance, exertional sweating, palpitations, weight loss of 2.5 kg. Exam: hard, round, 2.5 cm nodule in left thyroid lobe, moves with swallowing. Most valuable diagnostic test:",I-131 uptake test,Radionuclide scan,Thyroid fine-needle aspiration biopsy,MRI,B-ultrasound,,,,,,,,,,,,,,
47,ZH-CN,national_official_exam_unofficial_source,"患者，男，近3个月来经常思考“人为什么要存在”“历史起源是什么样的”，
自己知道思考没有意义，但自己不能控制，为此感到苦恼，坐立不安，主动就诊。患
者存在的主要症状是____。",强迫思维,焦虑症状,恐惧症状,强迫症状,惊恐发作,1,"Male, past 3 months, repeatedly thinking “Why does humanity exist?” and “What is the origin of history?”, knows these thoughts are meaningless but cannot control them, feels distressed, restless, seeks help. Main symptom:",Obsessive thought,Anxiety symptoms,Phobic symptoms,Obsessive-compulsive symptoms,Panic attack,,,,,,,,,,,,,,
48,ZH-CN,national_official_exam_unofficial_source,"患者，女，38岁。自述阴部有一肿物脱出3个月。妇科检查可见宫颈全部及部分
宫体外露于阴道口，触之宫颈较长。本例应选择恰当的手术是____。",阴道前后壁修补术,阴道纵隔形成术,Manchester 手术,经阴道子宫全切及阴道前后壁修补术,经腹子宫全切除术,3,"Female, 38 years old, vaginal mass prolapsed for 3 months. Gynecological exam: cervix and part of uterus outside vaginal opening, cervix elongated. Best surgical choice:",Anterior/posterior colporrhaphy,Vaginal septum formation,Manchester procedure,Vaginal hysterectomy with anterior/posterior repair,Abdominal hysterectomy,,,,,,,,,,,,,,
49,ZH-CN,national_official_exam_unofficial_source,"男，11岁，因发生车祸，临床诊断脑死亡。患者父母极其伤心，但接受器官捐献
的观点，要求与受体者见面，并与之认为亲戚。器官捐献医师坚持拒绝其见面，患者
父母遂放弃了捐献。本案例中，体现的医学伦理是____。",供者的尊严与保护,患者健康利益至上,无偿与非商业化,知情同意,保密,5,"Male, 11 years old, brain death after car accident. Parents agree to organ donation but request to meet the recipient and consider them family. Physician refuses, parents withdraw donation. Ethical principle reflected:",Donor dignity and protection,Patient’s best health interest,Voluntariness & non-commercialization,Informed consent,Confidentiality,,,,,,,,,,,,,,
50,ZH-CN,national_official_exam_unofficial_source,"患者，女，49岁。颈肩痛半年，向左上
肢放射。左上肢肌力下降,手指动作不灵活.椎棘突间有压痛,左手拇指感觉减弱。上
肢牵拉试验阳性，压头试验阳性。最可能的颈椎病类型是____。",脊髓型,神经根型,混合型,椎动脉型,交感神经型,2,"Female, 49 years old, neck and shoulder pain for 6 months, radiating to left upper limb, weakness in left hand, finger dexterity decreased, tenderness between spinous processes, thumb sensory loss, positive upper limb traction and Spurling test. Most likely cervical spondylosis type:",Spinal type,Nerve root type,Mixed type,Vertebral artery type,Sympathetic type,,,,,,,,,,,,,,
51,ZH-CN,national_official_exam_unofficial_source,"患者男，50岁，1年来心慌胸闷气短，近1月来加重，入院后查体，R120次/分，
心音低钝，遥远，Ewart征阳性，超声提示室间隔不同步，下列最可能的治疗措施是
____。",手术治疗,心包穿刺术,球囊扩张,静脉注射味塞米,静脉注射胺碘酮,2,"Male, 50 years old, palpitations, chest tightness, and shortness of breath for 1 year, worsened in last month. HR 120 bpm, muffled and distant heart sounds, positive Ewart’s sign, echo shows interventricular dyssynchrony. Most likely treatment:",Surgery,Pericardiocentesis,Balloon dilation,IV verapamil,IV amiodarone,,,,,,,,,,,,,,
52,ZH-CN,national_official_exam_unofficial_source,碱性尿液中形成的结石____。,尿酸结石,草酸结石,胱氨酸结石,磷酸盐结石,黄嘌呤结石,4,Stones formed in alkaline urine:,Uric acid stones,Oxalate stones,Cystine stones,Phosphate stones,Xanthine stones,,,,,,,,,,,,,,
53,ZH-CN,national_official_exam_unofficial_source,健康教育干预主要作用于影响健康分类中的____。,卫生服务因素,环境因素,遗传因素,生物因素,行为与生活方式因素,5,Main category of health determinants targeted by health education interventions:,Health service factors,Environmental factors,Genetic factors,Biological factors,Behavior and lifestyle factors,,,,,,,,,,,,,,
54,ZH-CN,national_official_exam_unofficial_source,鉴别急慢性肾衰竭的检查方法____。,肾活检,肾动脉造影,肾B超,肾ct,肾盂造影,1,Test to distinguish acute from chronic renal failure:,Renal biopsy,Renal arteriography,Renal B-ultrasound,Renal CT,Renal pelvis imaging,,,,,,,,,,,,,,
55,ZH-CN,national_official_exam_unofficial_source,鉴别三种非典型苯丙酮尿症的方法是____。,尿三氯化铁试验,尿蝶呤图谱分析,血浆游离氨基酸分析,Guthrie细菌生长抑制试验,DNA分析,2,Test to differentiate three types of atypical phenylketonuria:,Ferric chloride urine test,Urinary pterin pattern analysis,Plasma free amino acid analysis,Guthrie bacterial inhibition test,DNA analysis,,,,,,,,,,,,,,
56,ZH-CN,national_official_exam_unofficial_source,结直肠中最常见的非肿瘤性息肉是____。,增生性息肉,错构瘤性息肉,化生性息肉,炎性息肉,腺瘤性息肉,1,Most common non-neoplastic polyp of colon/rectum:,Hyperplastic polyp,Hamartomatous polyp,Metaplastic polyp,Inflammatory polyp,Adenomatous polyp,,,,,,,,,,,,,,
57,ZH-CN,national_official_exam_unofficial_source,解剖性分流最可能见于____。,阻塞性肺气肿,慢性支气管炎,支气管哮喘,支气管扩张,肺栓塞,4,Anatomical shunt most likely seen in:,Obstructive emphysema,Chronic bronchitis,Bronchial asthma,Bronchiectasis,Pulmonary embolism,,,,,,,,,,,,,,
58,ZH-CN,national_official_exam_unofficial_source,经产妇进入分娩室的时间是____。,胎头拨露,胎头着冠,宫口开大4cm,宫口开大6cm,宫口开大10cm,3,When multiparous woman should enter delivery room:,Engagement of fetal head,Crowning,Cervical dilation 4 cm,Cervical dilation 6 cm,Cervical dilation 10 cm,,,,,,,,,,,,,,
59,ZH-CN,national_official_exam_unofficial_source,"某男发现其妻子出轨，第二天双下肢不能行走，并出现癫痫症状，双下肢无力，
检查神经系统阴性，用明尼苏达人格测验，该患者属于____。",疑病,妄想症,抑郁症,癔症,精神分裂症,4,"Man finds wife unfaithful, next day unable to walk, seizures, leg weakness, neuro exam normal, MMPI administered. Diagnosis:",Hypochondria,Delusional disorder,Depression,Hysteria,Schizophrenia,,,,,,,,,,,,,,
60,ZH-CN,national_official_exam_unofficial_source,"某尿路感染药物疗效检测共收集了87例患者，其中43例治愈，17例显效，6例
改善，21例无效。该资料属于____。",连续型变量资料,有序多分类变量资料,无序多分类变量资料,定量资料,等级资料,2,"A study on antibiotic efficacy for urinary tract infection included 87 patients: 43 cured, 17 markedly effective, 6 improved, 21 ineffective. This data type is:",Continuous variable data,Ordered multi-category variable data,Unordered multi-category variable data,Quantitative data,Ranked data,,,,,,,,,,,,,,
61,FA-IR,national_official_exam_unofficial_source,"بیمار آقای ۳۵ ساله با شکایت دیس ماه قبل دچار پنومونی اکتسابی از جامعه شد که ۳ پپس مراجعه کرده است. وی حدود ژن هلیکوباکتر پیلوری در مدفوع بیمار تحت درمان با آزیترومایسین خوراکی قرار گرفت. در آزمایشات انجام شده فعلی، آنتی کنید؟ کنی هلیکوباکتر پیلوری توصیه می عنوان خط اول درمان برای ریشه مثت گزارش شده است. کدام رژیم درمانی زیر را به","سیلین، پنتو-رازول","کلاریترومایسین، آموکسی","سیلین، مترونیدازول، اُمرازول","کلاریترومایسین، آموکسی",None,3,"The patient is a 35-year-old man with a complaint of dyspepsia. About 3 months ago, the patient developed community-acquired pneumonia and was treated with oral azithromycin. In the current tests, Helicobacter pylori stool antigen has been reported positive. Which of the following regimens do you recommend as the first line of treatment to eradicate Helicobacter pylori?","Clarithromycin, Amoxicillin, Pantoprazole","Clarithromycin, Amoxicillin, Metronidazole, Omeprazole","Bismuth subcitrate, Tetracycline, Metronidazole, Pantoprazole","Rifabutin, Amoxicillin, Omeprazole",None,,,,,,,,,,,,,,
62,FA-IR,national_official_exam_unofficial_source,"خانم ۳۲ ساله با شکایت درد سوزشی اپیگاستر همراه با سیری زودرس از یک ماه پیش مراجعه کرده است. بیمار شرح حالی از کاهش وزن، تهوع و استفراغ، دیسفازی، اُدینوفازی و شواهدی از خونریزی گوارشی ذکر نمی کند. در آزمایشات، آنمی وجود ندارد و سروولوژی هلیکوباکتر پیلوری منفی گزارش شده است. ایشان سابقه خانوادگی کانسرهای گوارشی را ندارند، ولی سابقه خونریزی گوارشی ناشی از زخم معده به دلیل مصرف همزمان دوز بالای ایندومتاسین همراه با آسپیرین را در مادر خود ذکر می کند. اقدام بعدی کدام است؟",اندوسکوپی دستگاه گوارش فوقانی,درمان تجربی با فاموتیدین,کنی هلیکوباکتر پیلوری,درمان تجربی ریشه,None,2,"A 32-year-old woman presented with a complaint of epigastric burning pain with early satiety starting about a month ago. The patient does not mention weight loss, nausea and vomiting, dysphagia, odynophagia, and evidence of gastrointestinal bleeding. There is no anemia in the lab tests, and the serology of Helicobacter pylori has also been reported as negative. She does not have a family history of gastrointestinal cancers, but she mentions a history of gastrointestinal bleeding caused by a gastric ulcer due to simultaneous use of high doses of indomethacin with aspirin in her mother. What is the next step?",Upper gastrointestinal endoscopy,Empirical treatment with Famotidine,Empirical treatment for Helicobacter pylori eradication,Urease Breath Test (UBT),None,,,,,,,,,,,,,,
63,FA-IR,national_official_exam_unofficial_source,"خانم ۴۲ ساله با شکایت زردی ملتحمه و احساس ضعف از دو هفته قبل مراجعه کرده است. در معاینه فیزیکی شکم یافته غیرطبیعی وجود ندارد. سونوگرافی شکم هم نرمال گزارش شده است. نتایج آزمایشات اولیه بیمار به شرح زیر است: ALT= 567 IU/L (NL<31), AST= 345 IU/L (NL<31), AlkP= 345 IU/L (NL<306) Total Bilirubin= 8 mg/dl, Direct bilirubin= 4 mg/dl Anti-HCV Ab= Negative, Anti-HAV IgM= Negative, HBsAg= Negative, Anti-HBs Ab= Negative, Anti-HBc IgM= Positive, HBeAg= Negative, Anti-HBe Ab= Negative کدامیک از تشخیص های زیر برای بیمار مطرح است؟",هپاتیت B حاد,هپاتیت B precore-mutant,ناقل هپاتیت B,هپاتیت B مزمن,None,1,"A 42-year-old woman has presented with a complaint of conjunctival jaundice and feeling weak since two weeks ago. On the abdominal physical examination, there are no abnormal findings. The abdominal ultrasound was reported normal. The results of the patient's initial tests are as follows: ALT= 567 IU/L (NL<31), AST= 345 IU/L (NL<31), AlkP= 345 IU/L (NL<306) Total Bilirubin= 8 mg/dl, Direct bilirubin= 4 mg/dl Anti-HCV Ab= Negative, Anti-HAV IgM= Negative, HBsAg= Negative, Anti-HBs Ab= Negative, Anti-HBc IgM= Positive, HBeAg= Negative, Anti-HBe Ab= Negative Which one of the following diagnoses is relevant for the patient?",Acute hepatitis B,"Hepatitis B, precore mutant",Hepatitis B carrier,Recovery from hepatitis B,None,,,,,,,,,,,,,,
64,FA-IR,national_official_exam_unofficial_source,"خانم ۵۶ ساله با شکایت دفع حجم زیادی خون روشن از مقعد به اورژانس مراجعه کرده است. بیمار شکایت از هماتمز و ملنا ندارد. فشار خون سیستولیک بیمار ۸۵ میلی متر جیوه و تعداد ضربان قلب بیمار ۱۱۵ عدد در دقیقه است. به علت ایجاد سرگیجه در حالت نشسته، بررسی تغییرات اُرتواستاتیک امکانپذیر نیست. نتایج آزمایشات انجام شده به شرح زیر است: Hb= 10.5 g/dl, PLT= 198000, PTT= 32 sec, INR= 1.2, BUN= 72 mg/dl, Cr= 1.4 mg/dl بعد از پایدار ساختن همودینامیک بیمار، کدامیک از اقدامات تشخیصی زیر در اولویت است؟",اندوسکوپی دستگاه گوارش فوقانی,کولونوسکوپی,رکتوسیگموئیدوسکوپی,آنژیوگرافی,None,1,"A 56-year-old woman has been referred to the emergency room with a complaint of passing a large amount of bright red blood from the anus. The patient has no complaints of hematemesis and melena. The patient's systolic blood pressure is 85 mmHg and her heart rate is 115 beats per minute. Due to dizziness while sitting, it is not possible to check the orthostatic changes. The results of the tests are as follows: Hb= 10.5 g/dl, PLT=198000, PTT= 32 sec, INR= 1.2, BUN= 72 mg/dl, Cr= 1.4 mg/dl After stabilizing the patient's hemodynamic, which one of the following diagnostic procedures is the priority?",Upper gastrointestinal endoscopy,Colonoscopy,Rectosigmoidoscopy,CT angiography,None,,,,,,,,,,,,,,
65,FA-IR,national_official_exam_unofficial_source,آقای 75 ساله با اسهال آبکی از سه روز قبل در اورژانس بستری شده است. بعد از معاینه اولیه چه اقدام مناسبی برای بیمار است؟,میکروبولوژی مدفوع,سونوگرافی شکم,کالپروتکتین مدفوع,کولونوسکوپی,None,1,"A 75-year-old man with watery diarrhea since three days ago has been admitted to the emergency room. His blood pressure is 89/60 mmHg, his pulse rate is 95 per minute, and his fever is 37.8 degrees. What is the most suitable action for the patient after the initial fluid therapy?",Stool microbiology,Abdominal sonography,Stool Calprotectin,Colonoscopy and biopsy,None,,,,,,,,,,,,,,
66,FA-IR,national_official_exam_unofficial_source,"آقای 42 ساله با درد شکم راجعه بصورت یک بار در هفته، افزایش دفعات دفع مدفوع، اسهال شبانه و نبود نسبی درد شکم به دنبال دفع مدفوع به دنبال دفع مدفوع از 6 ماه قبل مراجعه کرده است. طبق معیارهای تشخیص Rome IV، کدامیک از علائم بیمار با IBS همخوانی ندارد؟",درد شکم راجعه,افزایش دفعات دفع مدفوع,اسهال شبانه,نبود نسبی درد شکم به دنبال دفع مدفوع,None,3,"A 42-year-old man presented with recurrent abdominal pain once a week, increased frequency of defecation, nocturnal diarrhea, and partial improvement of abdominal pain following defecation during the last 6 months. According to the Rome IV diagnostic criteria, the most probable diagnosis is Irritable Bowel Syndrome (IBS). Which of the following symptoms is NOT observed in IBS?",Abdominal pain,Increased frequency of defecation,Nocturnal diarrhea,Partial improvement of abdominal pain following defecation,None,,,,,,,,,,,,,,
67,FA-IR,national_official_exam_unofficial_source,"آقای 38 ساله با شکایت اسهال مزمن، درد مزمن RUQ و کاهش وزن حدودا 5 کیلوگرم طی 6 ماه اخیر مراجعه کرد. در آزمایشات انجام شده، با توجه به بالا بودن مارکرهای التهابی سرم و بالا بودن fecal calprotectin، بیمار تحت کولونوسکوپی قرار گرفت. تنها یافته غیر طبیعی قابل مشاهده در کولونوسکوپی چند زخم آفتوس در ترمینال ایلئوم گزارش شد. با توجه به محتمل ترین تشخیص، کدامیک از یافته های زیر با این بیماری بیشترین تطابق را دارد؟",سروولوژی مثبت pANCA,فیستول آنال,تظاهر آندوسکوپیک بصورت continuous درگیری مخاطی در سرتاسر کولون در کولونوسکوپی,التهاب ترانس مورال همراه با آبسه کریپت,None,2,"A 38-year-old man presented with complaints of chronic diarrhea, chronic abdominal right upper quadrant (RUQ) pain, and weight loss of about 5 kg over the last 6 months. In the laboratory tests performed, due to the high serum inflammatory markers and high fecal calprotectin, the patient underwent colonoscopy. The only abnormal finding visible in colonoscopy is several aphthous ulcers in the terminal ileum. On the histological examination of the samples taken from the terminal ileum, transmural inflammation with crypt abscess was reported. Which of the following findings is most consistent with this disease according to the most probable diagnosis?",Positive serology of pANCA,Perianal fistula,Endoscopic manifestation as proctitis,Continuous mucosal involvement throughout the colon,None,,,,,,,,,,,,,,
68,FA-IR,national_official_exam_unofficial_source,"ﺑﯿﻤﺎر آﻗﺎی ۶۷ ﺳﺎﻟﻪ ﺑﺎ زردی، ﺿﻌﻒ و ﺗﻐĽĽﺮ رﻧﮓ ادرار ﺑﻪ رﻧﮓ ﭼﺎی را ذﮐﺮ ﻣĺ. ﺣﺎﻟĺ ﻣﺮاﺟﻌﻪ ﻧﻤﻮده اﺳﺖ. آزﻣﺎﯾﺸﺎت اوﻟﯿﻪ ﺑﻪ ﺷﺮح زŀﺮ ﻣĺ: WBC: 5600/µl, Hb: 6 g/dl, PLT: 280,000/micL, MCV: 92 fl, Retic: 14%, Bilirubin total: 8 mg/dl, Bilirubin direct: 1 mg/dl. ﮐﺪاﻣﯿﮏ از ﺑﯿﻤﺎری ﻫﺎی زŀﺮ ﺑﺮای ﺑﯿﻤﺎر ﻣﻄﺮح ﺑﺎﺷﺪ؟",آﻧﻤĺ ﻫﻤﻮﻟﯿcﯿﮏ اﺗﻮاﯾﻤĽﻮن,ĺﻫﻤﻮﮔﻠﻮﺑļﻨﻮﭘﺎﺗ,B12 ﮐﻤTﻮد وﯾﺘﺎﻣĽﻦ,G6PD ﮐﻤTﻮد آﻧﺰﯾﻢ,None,3,"A 67-year-old male patient presented with jaundice, weakness, and fatigue. The patient reports change of urine color to tea-like. The initial laboratory tests are as follows: WBC: 5600/µl, Hb: 6 g/dl, PLT: 280,000/micL, MCV: 92 fl, Retic: 14%, Bilirubin total: 8 mg/dl, Bilirubin direct: 1 mg/dl. Which one of the following diseases is NOT relevant for the patient?",Autoimmune hemolytic anemia,Hemoglobinopathy,Vitamin B12 deficiency,G6PD deficiency,None,,,,,,,,,,,,,,
69,FA-IR,national_official_exam_unofficial_source,"ﺑﯿﻤﺎر آﻗﺎی ۴۵ ﺳﺎﻟﻪ ﺑﺎ ﺳﺎﺑﻘﻪ ﻃﻮﻻﻧĺ ﻣﺼﺮف ﺳﯿﮕﺎر ﺑﻪ ﻋﻠﺖ ﺳﺮدرد ﻣﺮاﺟﻌﻪ ﻧﻤﻮده اﺳﺖ. در آزﻣﺎﯾﺸﺎت اﻧﺠﺎم ﺷﺪه: WBC: 13800/microL, Hb: 18 gr/dl, MCV: 90 fl, platelet: 560,000/microL. ﮐﺪاﻣﯿﮏ از ﻣﻮارد زŀﺮ در ﻗﺪم ﺑﻌﺪ ﭘﯿﺸﻨﻬﺎد ﮔﺮدد؟",JAK2 ﻣﻮﺗﺎﺳĽﻮن,Arterial O2 saturation,ﺳﻄﺢ ﻓﺮﯾcĽﻦ ﺳﺮم,ﺳﻄﺢ ﮐﺮWﻮﮐﺴĺ ﻫﻤﻮﮔﻠﻮWĽﻦ,None,1,"A 45-year-old patient with a long history of smoking presented with a headache. The laboratory tests show WBC: 13800/microL, Hb: 18 gr/dL, MCV: 90 fl, platelet: 560,000/miroL, and decreased erythropoietin (EPO) level. Which one of the following options should be recommended as the best possible next step?",JAK2 mutation,Arterial O2 saturation,Ferritin level,Carboxyhemoglobin level,None,,,,,,,,,,,,,,
70,FA-IR,national_official_exam_unofficial_source,"مصرف سیگار، الکل و مایعات داغ ریسک فاکتورهای کدام بدخیمی می‌باشد؟",سرطان ریه از نوع آدنوکارسینوم,سرطان ریه از نوع اسکواموس سل کارسینوم,سرطان مری از نوع آدنوکارسینوم,سرطان مری از نوع اسکواموس سل کارسینوم,None,4,"Smoking, alcohol, and hot fluids are risk factors for ………… .",Adenocarcinoma of the Lung,Squamous cell carcinoma of the Lung,Adenocarcinoma of the Esophagus,Squamous cell carcinoma of the Esophagus,None,,,,,,,,,,,,,,
71,FA-IR,national_official_exam_unofficial_source,"آقای 64 ساله به علت خستگی مزمن از حدود 4 ماه قبل مراجعه کرده است. سابقه بیماری دیگری را ذکر نکرده است. تب ندارد. در معاینه طحال بزرگ و تا حدود ناف می‌باشد. آزمایشات بیمار به شرح زیر است: WBC= 34,000 /µl, Hb= 13 g/dl, PLT= 450,000 /µl و افزایش بازوفیل به 1%، پرومیلوسیت 2%، متامیلوسیت 2%، میلوسیت 5%، مونوسیت 50% در لام خون محیطی نوتروفیل 4% دیده می‌شود. تشخیص محتمل کدامیک از موارد زیر است؟",لوسمی میلوئیدی حاد (AML),لوسمی لنفوئیدی مزمن (CLL),لوسمی لنفوئیدی حاد (ALL),لوسمی میلوئیدی مزمن (CML),None,4,"A 64-year-old man has been referred to a clinic for chronic fatigue for about four months. He does not have any other medical history. He has no fever. On examination, the spleen is enlarged and has extended to the umbilicus. The patient's laboratory tests are as follows: WBC= 34,000 /µl Hb= 13 g/dl PLT= 450,000 /µl Peripheral blood smear shows PMN: 50%, monocyte: 5%, myelocyte: 2%, metamyelocyte:2%, promyelocyte: 1%, basophil: 4% Which of the following choices is the most probable diagnosis?",AML (acute myeloblastic leukemia),CLL (chronic lymphocytic leukemia),ALL (acute lymphocytic leukemia),CML (chronic myelocytic leukemia),None,,,,,,,,,,,,,,
72,FA-IR,national_official_exam_unofficial_source,"خانم ۳۰ ساله بدون علامت بالینی به دلیل پلاکت پایین به درمانگاه مراجعه کرده است. سابقه بیماری خاصی ندارد. نتایج آزمایشات ایشان به شرح زیر است: WBC= 8000 /µL, HB= 14 g/dL, PLT= 60,000 /µL. در لام خون محیطی بجز کمبود پلاکت مورد پاتولوژیک دیگری دیده نمی‌شود. HCV Ab و HIV Ab، ANA منفی هستند. ESR و LDH نرمال است. پیشنهاد درمانی کدام گزینه مناسب باشد؟",پردنیزولون خوراکی,تزریق پلاکت,ایمونولوگلوبولین وریدی,پیگیری بیمار,None,4,"A 30-year-old asymptomatic woman with a laboratory examination revealing thrombocytopenia was referred to a clinic. The past medical history is unremarkable. She does not use any medication and denies any recent infectious diseases. The results of lab tests are as follows: WBC= 8000 /µl, HB= 14 g/dl, PLT= 60,000 /µl, PBS has normal findings except for thrombocytopenia. ANA, HCV Ab, and HIV Ab are negative. ESR and LDH are normal. What is the best suggestion for the next step?",Oral prednisolone,Platelet transfusion,IVIG,Following up the patient,None,,,,,,,,,,,,,,
73,FA-IR,national_official_exam_unofficial_source,"خانم ۴۶ ساله با خونریزی شدید گوارشی مراجعه کرده است. برای بیمار ترانسفیوژن دو واحد پک سل درخواست شد. پس از دریافت دومین واحد پک سل، بیمار دچار راش منتشر پوستی، خارش و ادم صورت شده است. علایم حیاتی بیمار نرمال است. اقدام درمانی کدام است؟",تزریق آنتی هیستامین,ادامه ترانسفیوژن پک سل و تزریق آنتی هیستامین,توقف موقت ترانسفیوژن پک سل و تزریق آنتی هیستامین,توقف موقت ترانسفیوژن پک سل و تزریق آدرنالین زیرجلدی,None,2,A 46-year-old lady was referred to the emergency room with severe upper GI bleeding. 2 units of isogroup and cross-matched packed-cell were ordered. The patient complained of generalized pruritic rash and facial edema during receiving the second unit of packed-cell. The vital signs are stable. Which one of the following treatments can be the best decision?,Continuation of transfusion and antihistamine administration,Temporarily stopping the transfusion followed by administering antihistamine,Temporarily stopping the transfusion followed by administering subcutaneous adrenalin,Continuation of transfusion and subcutaneous adrenalin administeration,None,,,,,,,,,,,,,,
74,FA-IR,national_official_exam_unofficial_source,آقای ۶۰ ساله با درد کمر مراجعه کرده است. درد بیمار با راه رفتن و ایستادن تشدید می‌شود و در هنگام نشستن کاهش می‌یابد. بیمار در زمان خم شدن به سمت سبد خرید توانایی طی مسیری طولانی را ندارد. تشخیص بیمار چیست؟,استخوان‌روزیس,اسپوندیلیت,تنگی کانال نخاع,بیماری دیسک کمر,None,3,A 60-year-old male patient presented with back pain. The pain is aggravated by walking or standing and is relieved by sitting. The patient can walk much farther when leaning over a shopping cart. Which of the following is the likely diagnosis?,Osteoporosis,Spondylitis,Spinal canal stenosis,Lumbar disk disease,None,,,,,,,,,,,,,,
75,FA-IR,national_official_exam_unofficial_source,"سونوگرافی در تشخیص تمام موارد زیر کمک کننده می‌باشد، بجز؟",کیست بیکر,پارگی روتاتور کاف,نکروز آواسکولار,ورم و تاندینیت,None,3,"Ultrasound is helpful in diagnosing all of the following, EXCEPT ......... .",baker cyst,rotator cuff tears,avascular necrosis,bursitis and tendinitis,None,,,,,,,,,,,,,,
76,FA-IR,national_official_exam_unofficial_source,خانم ۵۵ ساله با پلی‌آرتریت قرینه مفاصل متاکارپوفارنژیال و اینترفارنژیال و تورم زانوی راست و هر دو دست مراجعه کرده است. در آزمایشات همراه افزایش یافته ESR است. جهت تشخیص قطعی بیمار کدام یک از آزمایش‌های زیر را درخواست می‌کنید؟,Anti CCP Ab,Anti SCL70 Ab,Anti cardiolipin Ab,Anti Ds DNA Ab,None,1,A 55-year-old woman presented with polyarthritis of the metacarpophalngeal and interphalyngeal joints 3 and 4 of both hands and swelling of the right knee. The test results show an increased ESR. Which of the following tests is recommended for a definite diagnosis?,Anti CCP Ab,Anti SCL70 Ab,Anti cardiolipin Ab,Anti Ds DNA Ab,None,,,,,,,,,,,,,,
